,student_id,course_course_1,course_course_2,course_course_3,course_course_4,course_course_5,course_course_6,course_course_7,course_course_8,course_course_9,course_course_10,course_course_11,course_course_12,course_course_13,course_course_14,course_course_15,course_course_16,course_course_17,course_course_18,course_course_19,course_course_20,course_course_21,course_course_22
0,0000217e-c7c1-4d2d-be1d-25c688876bb7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0025dffe-7dde-4125-9821-9a5c56fa6c85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,004bd9ad-a692-4bbc-885d-a5c7a56f7148,0.0,0.0,72.0,41.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,00538933-a590-40ee-95cf-93e00d2807fb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0
4,0057664c-1c6d-4199-9a8c-52b1e8a7b353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,55.0,0.0,0.0,94.0
5,0063f160-80d6-44a0-ab6a-a1248d798f8c,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0067feff-454e-447e-b0c2-b9835eab7dac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,53.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,006912df-2941-4a6a-8996-f1e50b548e4c,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,99.0,0.0,63.0,0.0,91.0
8,0070e573-2a68-4921-8740-668031cf7a87,40.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0
9,007671cd-9265-419f-80ca-1273fd610bde,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,007a059d-b011-43a6-bb17-f3e76dbc79d6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,008336cf-7319-4677-b67f-245adc36e77a,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,009a6362-9385-4adf-a46b-99db7df991c4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,97.0,49.0,0.0,0.0,61.0
13,00aa7f3d-f6fe-42e7-a153-9f9ebe8c97d5,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0
14,00b06c3a-3a36-459a-bf86-e3a58c631387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,56.0,0.0,0.0,0.0,0.0,0.0
15,00f909b1-9e6e-4ada-9040-01f5ceea9200,0.0,0.0,0.0,49.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0
16,00f98dfc-cdd4-40f0-bf41-86aba33d42cb,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,44.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,01064de9-1756-4b17-a2e9-0fe0888a5bc5,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
18,01120640-a988-4625-bcd0-991ae4e9405c,0.0,0.0,0.0,62.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,98.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0
19,012d10fb-26de-47a0-902c-a332a6d57b47,0.0,53.0,0.0,0.0,60.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,012ed15e-7f30-42f0-8601-4e6f37e48cb1,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
21,014094ec-a366-44c2-b33c-0b8340fe0393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,64.0,0.0,53.0,0.0,0.0,0.0,0.0
22,0155fe18-8acc-4c42-bd05-4925547af415,0.0,79.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0
23,0158232c-a7d8-4f06-b19b-48aeea60107e,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,85.0,73.0
24,0161add6-319b-4c50-959f-d721c709ba53,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,66.0,0.0,85.0,0.0,0.0,0.0
25,01639489-2265-493f-aaa0-01d9d2d4ffda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
26,016713c1-232a-4959-8d56-0a0fab393f96,0.0,0.0,99.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,46.0
27,016d1d08-b319-4557-b21d-6833ff285394,0.0,0.0,98.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,019851e1-7dec-4d03-ae17-fa815715659c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
29,01999385-4a4d-48b6-8a04-b970f9ed5135,0.0,0.0,0.0,52.0,0.0,0.0,0.0,61.0,0.0,43.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0
30,01a38623-743f-478f-9351-948590638408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,78.0,0.0,0.0
31,01a6c597-6edd-45a1-bc8c-7fd925f45e9c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,01aa8129-b7b8-4080-9012-68fd2bd0b94b,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0
33,01ebffa6-19c6-4e2f-9223-de3a490c80e5,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,77.0,0.0,0.0,0.0,0.0
34,01f1ad7d-6e90-4bef-bce4-f179c775ba14,85.0,0.0,0.0,0.0,0.0,71.0,61.0,0.0,51.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,02237829-69e9-46a4-b422-b3a28dd8356a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,56.0,0.0
36,02255790-1444-4b6b-8f39-b5229927cde2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0
37,025ca845-0469-4f77-9d17-ef82d46246f0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0
38,02729052-f55b-490e-bb26-ef25575794a9,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,87.0,0.0,0.0,0.0
39,027bc7d6-5455-456c-94ac-2207e8847c74,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,65.0
